ds,yhat,yhat_lower,yhat_upper
2023-05-13,11771.388073842345,-17116.33088512816,42739.28020856466
2023-05-14,10145.067459303456,-18455.16319607224,39136.40497440593
2023-05-15,10761.252413814385,-17917.62514625238,39348.79589718391
2023-05-16,11501.304343067031,-16377.792064744848,38886.324439409356
2023-05-17,12482.220350156165,-16447.19387781849,41302.99108454622
2023-05-18,11553.728732313486,-15464.974660055863,38934.1202777469
2023-05-19,10696.304605274712,-18915.313411566804,38755.99342132075
2023-05-20,11634.021373918225,-16432.30389802841,38537.885538304516
2023-05-21,10746.810556984772,-17377.667738616437,40053.67760004906
2023-05-22,12063.944044206753,-13119.631137314873,41425.67522698572
2023-05-23,13449.622726391592,-16248.227263176641,40340.56129579079
2023-05-24,15005.61465401142,-13982.241769538441,43853.285562845434
2023-05-25,14568.654271394567,-15548.688875608503,42858.41386527369
2023-05-26,14108.694374344463,-12711.337354616717,42914.97393430183
2023-05-27,15341.92374994334,-14311.476950355705,44095.31388496429
2023-05-28,14643.122192096951,-13402.431071355613,44048.64903145104
2023-05-29,16039.16802622937,-15261.484114854122,44854.56993947781
2023-05-30,17394.584886049393,-13612.119056537698,44752.0189174765
2023-05-31,18814.07528168632,-9681.387911553127,47132.23859554593
2023-06-01,18139.75826853525,-10206.098133606933,45118.83570144233
2023-06-02,17349.209774464365,-10704.354507506492,44523.40216663058
2023-06-03,18168.226348039425,-9934.356792890072,46422.44613245681
2023-06-04,16982.8924552437,-12740.199524460028,44044.2205388652
2023-06-05,17832.77525248993,-10554.417861101345,45054.9443774504
2023-06-06,18596.14246955119,-8594.479004619096,48631.364544916694
2023-06-07,19392.15967629512,-10115.803926995079,49034.28460954258
2023-06-08,18077.831861821927,-9312.793280538051,47923.39645318711
2023-06-09,16645.59926357424,-10982.186823815095,47622.45277043271
2023-06-10,16835.907922834504,-11391.335933879813,45351.347941646556
2023-06-11,15048.948416218978,-13927.622266948722,45218.028321810816
2023-06-12,15337.588100273932,-14091.478337434637,43213.31289417855
2023-06-13,15592.357182915184,-13950.40405702723,43957.23567972754
2023-06-14,15943.44773591614,-11448.73347715159,45449.540336362494
2023-06-15,14257.45304018897,-12801.183262043556,45711.18567965027
2023-06-16,12534.95424875199,-16805.55351931982,41116.01168567316
2023-06-17,12522.881802140406,-14819.234640801264,41847.63809574843
2023-06-18,10626.236602030804,-20425.477917382712,40078.5994305945
2023-06-19,10900.997975937142,-17112.933354088087,40370.49193950454
2023-06-20,11239.115473757925,-16979.66957898021,41790.26902967032
2023-06-21,11770.540603610576,-15116.38389584494,37976.44655083107
2023-06-22,10360.022586863026,-16759.0013103594,40128.529546006896
2023-06-23,9004.77165402965,-18885.988173348924,39015.01049224684
2023-06-24,9446.913846797062,-17185.099958129627,39555.30068860532
2023-06-25,8085.318988300464,-20898.325757402545,38390.41045426044
2023-06-26,8968.625751574522,-18072.00568821913,40010.79922196987
2023-06-27,9980.358097995073,-16851.764731350126,35399.078162450955
2023-06-28,11241.086827201845,-15785.103361346208,40539.29363796252
2023-06-29,10605.358399532468,-18349.21919980677,36001.44593630112
2023-06-30,10059.522997410611,-19250.830227216426,37147.91753780316
2023-07-01,11334.235292649442,-14432.858844153765,39301.669583482086
2023-07-02,10816.508001047203,-17730.763222688583,38742.62850736739
2023-07-03,12542.842946360102,-14895.22612213616,41813.17634720932
2023-07-04,14384.483485214601,-11815.225213399159,47337.64545981726
2023-07-05,16449.71241996689,-12802.486082884016,44609.39045063572
2023-07-06,16580.917949874773,-10546.431178203953,45135.970967437
2023-07-07,16752.53011660705,-13360.513099663525,44812.06644193271
2023-07-08,18683.75099384893,-9529.222368400013,46239.845776355374
2023-07-09,18750.65978514943,-10089.463824503424,45906.13873953648
2023-07-10,20979.516334084456,-7748.860343602347,50183.77180739083
2023-07-11,23232.156814701208,-6161.050087903965,54137.21877365679
2023-07-12,25608.434616491784,-3325.553544546763,54978.45270943905
2023-07-13,25943.42749889215,-2198.0697094842594,53619.958071497684
2023-07-14,26205.51152111522,-1725.3863440171162,54990.049110552674
2023-07-15,28109.222586539072,-531.1979078561245,55827.421040678026
2023-07-16,28027.483933702926,-1614.1036080641527,56408.15753130045
2023-07-17,29985.019890103787,-572.4751592502838,58748.50400559882
2023-07-18,31843.846201322613,3242.0380205219926,59030.766470597366
2023-07-19,33705.78633637188,5638.88485229785,63685.91308281089
2023-07-20,33409.73120015765,5266.848466805667,61191.94564746798
2023-07-21,32929.739224317025,5478.926052706827,62900.41931784927
2023-07-22,33998.216048822425,7309.828983086226,62732.80481834578
2023-07-23,32987.14100986407,2579.2462127821514,61627.34668594415
2023-07-24,33932.374938184235,4316.832178095498,62010.28262199743
2023-07-25,34708.72146881865,3335.04133057725,61710.726792594425
2023-07-26,35432.298719886414,7406.230197582619,61706.95269318984
2023-07-27,33957.61725587287,3902.0760828793086,64249.87781098626
2023-07-28,32275.46244656168,2037.9354165527695,60746.58855808661
2023-07-29,32125.500981378806,4968.159516185375,61199.0522713122
2023-07-30,29908.1902763008,1959.1891959536342,58298.794379232575
2023-07-31,29677.813111319658,2420.7496194210926,58367.83985899604
2023-08-01,29327.53153686977,-498.18402437657136,58545.33778124877
2023-08-02,28991.414916916867,-143.17039945866227,56379.33502778106
2023-08-03,26541.166730059733,-2304.35235903518,54059.40005335965
2023-08-04,23983.655938742017,-5995.789167561369,53438.91934418455
2023-08-05,23073.180844660284,-7315.92279846333,51721.887004940865
2023-08-06,20223.052577860864,-6612.192147245896,49550.573564147446
2023-08-07,19498.328994602176,-7665.28768636675,48736.356580108666
2023-08-08,18800.60124865959,-7870.818175605447,48879.065358962616
2023-08-09,18269.795676475638,-9832.936103921775,48985.239493448644
2023-08-10,15780.722696707315,-12486.38030152131,43807.03744021434
2023-08-11,13340.484690077386,-16447.026286098917,42294.894971737565
2023-08-12,12700.675796685828,-14234.532251585231,41737.18511533884
2023-08-13,10268.964473557331,-17915.21256780386,39778.59532092168
2023-08-14,10109.876562962258,-16665.362179521308,40001.46620290088
2023-08-15,10105.757939960164,-18083.804336093905,37924.62351998991
2023-08-16,10382.725932343072,-19973.0519311856,38583.463895535635
2023-08-17,8799.49081850483,-18367.56585717868,36334.610130141096
2023-08-18,7345.0787070511715,-22744.291826484463,37854.270015709735
2023-08-19,7751.3978724379385,-21540.55764991277,37167.43742990436
2023-08-20,6405.231772551473,-21785.362859063764,35667.955070173164
2023-08-21,7341.4827644669795,-21882.892253045145,35767.757694508546
2023-08-22,8428.559272215847,-18964.829327310377,38195.410437151164
2023-08-23,9770.856948003355,-19147.23842911871,38174.67523189485
2023-08-24,9206.051083630737,-22007.05012210375,36899.99387402359
2023-08-25,8703.295765233308,-19788.13511811966,37642.411047248315
2023-08-26,9976.244589531329,-17938.104503447143,39329.58577384809
2023-08-27,9395.464458823088,-18854.858156634957,36434.27572796471
2023-08-28,10982.055396905514,-17530.23640296663,39568.45631237225
2023-08-29,12593.35901472642,-16553.32790772566,40354.94181236283
2023-08-30,14325.697287227566,-13850.991171214147,44481.91393977011
2023-08-31,14011.851529147802,-15016.270789078204,42831.31012311722
2023-09-01,13619.371435868747,-16271.310005215208,42729.549439271075
2023-09-02,14863.625307827038,-13842.770748178888,43766.50435188473
2023-09-03,14120.16133909578,-13190.116812558123,42817.86745008635
2023-09-04,15418.19341937917,-11858.454040112232,45555.236170275704
2023-09-05,16628.83602970722,-13528.58876797503,46159.805829293175
2023-09-06,17859.338297477272,-10136.849102653805,46298.60417686896
2023-09-07,16958.426717357346,-14593.349550963741,45112.211636467604
2023-09-08,15911.4623134098,-14515.519470250612,44462.13056833859
2023-09-09,16453.030115968842,-11961.37141191463,44001.556945082804
2023-09-10,14978.803313073271,-13841.66398982798,43374.36309999227
2023-09-11,15538.508378095257,-12526.667139348332,43323.45651135539
2023-09-12,16020.890081487072,-12549.91321843243,45052.77436592459
2023-09-13,16555.636843908283,-12534.464225150448,47373.304233798655
2023-09-14,15009.997151120915,-14570.779125132873,44042.65879062777
2023-09-15,13386.19922338959,-15873.817130870639,42735.06062172387
2023-09-16,13433.608286405994,-15723.253994124661,42522.44133634662
